Premise,Hypothesis,Loss,Predicted Label,True Label
He was the first scholar to describe in detail.,He was the first scholar to describe in detail and document the long-term cyclical relationship between global population cycles and cycles of political rebellion and revolution.,11.881137,1,0
"La Barredora (""The Sweeper Truck"") is a criminal gang based in the Mexican resort city of Acapulco, Guerrero and its surrounding territories.","La Barredora (""The Sweeper Truck"") is a criminal gang based in the Mexican resort city of Acapulco, City and County of Denver and its surrounding territories.",6.5913906,1,0
"Today, Italy; tomorrow, who knows?","The trip to Italy will deplete my bank account, so I won't be traveling again any time soon.",5.63695,1,0
Traditional examples of background music include music played at various social gatherings and music played in certain retail venues.,Traditional examples of background music include music played at same social gatherings and music played in certain retail venues.,5.580024,1,0
Association for Federal Information Resources  www.affirm.org Chief Financial Officers  www.financenet.gov Federal Chief Information Officers  www.cio.gov Government Information Technology Services  www.gits.gov Industry Advisory  www.iaconline.org Information Systems Audit and Control Association and  www.iasca.org Information Technology Association of  www.itaa.org Information Technology Resources  www.itrb.gov International Federation of  www.ifac.org National Association of State Information Resource  www.nasire.org Society for Information  www.simnet.org,The Government Executive magazine provides added incentive for federal agencies and state governments to work effectively due to their rewards.,5.5295763,0,1
"Bryant for introducing the bill, Payne said. ","Since the bill had already been introduced, Payne said that Bryant should remove it.",5.411198,1,0
no i'm sure you know that's one thing you don't do,I don't know whether you know if you should do that or not.,5.375714,1,0
It's that interaction with fiscal policy that has drawn economists' attention to bequest motives in recent years.,It's that interaction with the criminal law is what has drawn economicts' attention to bequest motives in recent years.,5.345931,1,0
"However, we are so sophisticated psychometrically and methodologically that virtually every piece of research can be dissected, revealing flaws and problems.",No research can be dissected by methodology alone.  ,5.3171115,0,1
you want to have that coverage so anyway uh but what else,No press is bad press,5.285258,0,1
